signal_date,ticker,confidence,direction,technical_score,positioning_score,sentiment_score,news_score,fundamental_score,technical_max,sentiment_max,news_max,regime,vix_at_signal,rsi_14,rs_zscore,mom_5d,trend_intact,entry_zone_lower,entry_zone_upper,entry_price,stop_loss,target,rr_ratio,rr_ratio_at_fill,news_article_count,dominant_news_theme,fundamental_data_quality,structure_recommended,ev_per_dollar,capital_required,structure_legs,structure_effective_days,structure_greeks_summary,greeks_filter_status,structure_max_loss,structure_max_gain,structure_strikes,structure_expiration_date,alternative_structures,risk_pct,dollar_risk,actual_dollar_risk,position_type,position_size,capital_deployed,sizing_note,event_gate_blocked,event_gate_trigger,fill_date,fill_price,mark_price,mark_date,unrealized_rr,unrealized_pnl_dollars,outcome,exit_date,exit_price,pnl_pct,achieved_rr,holding_days,pnl_dollars,hypothetical_outcome,hypothetical_exit_date,hypothetical_exit_price,hypothetical_pnl_pct,hypothetical_achieved_rr,hypothetical_holding_days,hypothetical_pnl_dollars
2026-08-26,MU,63.2,bullish,24.3,12.4,9.5,10.3,8.7,40.0,15.0,15.0,choppy,15.2,51.3,0.411,0.0014,False,1020.57,1051.69,1036.13,934.66,1340.55,3.00,,191,memory_cycle,complete,long_stock,0.25168,101.47,,,,applied,,,,,,0.0333,499.50,405.88,shares,4,4144.52,rank track — flat 3.33% risk regardless of score (63.2/100) | superseded 2026-08-28 — a newer qualifying signal (confidence 67.7) replaced this still-unfilled entry order,True,tariff,,,,,,,superseded,2026-08-28,,,,,,,,,,,,
2026-08-26,QCOM,57.6,bullish,24.0,12.3,8.5,10.7,4.0,40.0,15.0,15.0,choppy,15.2,48.0,0.353,0.0112,False,167.27,170.47,168.87,160.88,192.84,3.00,,56,competitive_dynamics,complete,diagonal_call,0.20079,167.61,,,,applied,,,,,,0.0333,499.50,335.22,options,2,335.22,"rank track — flat 3.33% risk regardless of score (57.6/100) | stop/target recomputed 2026-08-26 under v2.2.104 ATR bounds (stop 163.24->160.88, target 234.71->192.84, R:R 11.69->3.00); row was still pending, no capital committed. Sizing unchanged (options premium does not depend on stop). ev_per_dollar left as originally ranked. | superseded 2026-08-27 — a newer qualifying signal (confidence 73.2) replaced this still-unfilled entry order",True,tariff,,,,,,,superseded,2026-08-27,,,,,,,,,,,,
2026-08-26,TFC,48.2,bullish,16.5,13.5,6.1,11.1,6.0,40.0,15.0,15.0,trending_down,15.2,45.4,0.449,-0.0059,False,53.30,53.76,53.53,51.48,59.69,3.00,,41,earnings_expectations,partial,diagonal_call,0.07864,26.77,,,,applied,,,,,,0.0333,499.50,481.86,options,18,481.86,rank track — flat 3.33% risk regardless of score (48.2/100),False,,,,,,,,expired,2026-09-02,,,,5,,loss,2026-08-27,50.08,-0.0644,-1.683,1,-810.93
2026-08-26,RF,45.0,bullish,21.9,12.0,7.0,7.0,2.1,40.0,15.0,15.0,trending_down,15.2,46.0,0.215,0.0036,False,32.15,32.43,32.29,31.07,35.95,3.00,,28,earnings_expectations,partial,diagonal_call,0.07731,16.14,,,,applied,,,,,,0.0333,499.50,484.20,options,30,484.20,rank track — flat 3.33% risk regardless of score (45.0/100),False,,,,,,,,expired,2026-09-02,,,,5,,loss,2026-08-27,29.92,-0.0735,-1.945,1,-941.97
2026-08-26,ABBV,71.2,bullish,24.3,15.1,12.5,10.3,4.0,40.0,15.0,15.0,trending_up,15.2,60.4,-1.373,-0.0115,True,266.01,268.93,267.47,256.79,299.50,3.00,,94,earnings_expectations,complete,diagonal_call,0.11540,133.74,,,,applied,,,,,,0.0333,499.50,401.22,options,3,401.22,rank track — flat 3.33% risk regardless of score (71.2/100) | superseded 2026-08-27 — a newer qualifying signal (confidence 73.0) replaced this still-unfilled entry order,True,clinical hold,,,,,,,superseded,2026-08-27,,,,,,,,,,,,
2026-08-26,AMGN,70.5,bullish,27.4,14.4,6.5,11.2,6.0,40.0,15.0,15.0,trending_up,15.2,72.2,1.512,0.0013,True,444.50,449.56,447.03,424.30,515.21,3.00,,42,earnings_expectations,complete,diagonal_call,0.14949,229.24,,,,applied,,,,,,0.0333,499.50,458.48,options,2,458.48,rank track — flat 3.33% risk regardless of score (70.5/100) | superseded 2026-08-27 — a newer qualifying signal (confidence 71.5) replaced this still-unfilled entry order,True,clinical hold,,,,,,,superseded,2026-08-27,,,,,,,,,,,,
2026-08-26,AMZN,69.3,bullish,30.6,15.0,10.7,9.6,5.3,40.0,15.0,15.0,choppy,15.2,50.9,1.434,-0.0209,True,285.49,288.91,287.20,271.85,333.24,3.00,,177,ai_demand,complete,bull_call_spread,0.77713,403.10,,,,applied,,,,,,0.0333,499.50,403.10,options,1,403.10,rank track — flat 3.33% risk regardless of score (69.3/100) | superseded 2026-08-27 — a newer qualifying signal (confidence 65.9) replaced this still-unfilled entry order,True,boycott,,,,,,,superseded,2026-08-27,,,,,,,,,,,,
2026-08-26,SBUX,65.8,bullish,30.9,11.4,12.8,10.7,2.0,40.0,15.0,15.0,choppy,15.2,58.8,-0.232,0.0334,True,109.18,110.57,109.88,106.40,120.32,3.00,,91,ai_demand,complete,long_call,0.08922,262.86,,,,applied,,,,,,0.0333,499.50,262.86,options,1,262.86,"rank track — flat 3.33% risk regardless of score (65.8/100) | stop/target recomputed 2026-08-26 under v2.2.104 ATR bounds (stop 107.57->106.40, target 116.81->120.32, R:R 3.00->3.00); row was still pending, no capital committed. Sizing unchanged (options premium does not depend on stop). ev_per_dollar left as originally ranked. | superseded 2026-08-28 — a newer qualifying signal (confidence 63.5) replaced this still-unfilled entry order",True,boycott,,,,,,,superseded,2026-08-28,,,,,,,,,,,,
2026-08-27,NVDA,84.7,bullish,33.1,14.4,11.7,11.7,8.7,40.0,15.0,15.0,trending_up,14.5,61.3,0.910,0.0513,True,226.16,229.80,227.98,211.57,277.22,3.00,3.17,324,ai_demand,complete,long_strangle,3.78615,86.47,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,432.35,options,5,432.35,rank track — flat 3.33% risk regardless of score (84.7/100),True,tariff,2026-08-28,227.33,218.42,2026-09-10,-0.566,-244.79,,,,,,,,,,,,,,
2026-08-27,QCOM,73.2,bullish,26.5,14.3,14.6,8.9,4.0,40.0,15.0,15.0,trending_up,14.5,49.2,1.228,0.0251,False,167.30,170.44,168.87,161.01,192.46,3.00,,52,competitive_dynamics,complete,long_strangle,0.80794,107.35,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,429.40,options,4,429.40,rank track — flat 3.33% risk regardless of score (73.2/100) | superseded 2026-08-28 — a newer qualifying signal (confidence 66.0) replaced this still-unfilled entry order,True,tariff,,,,,,,superseded,2026-08-28,,,,,,,,,,,,
2026-08-27,UMBF,62.1,bullish,28.7,15.0,7.5,8.6,7.3,40.0,15.0,15.0,trending_down,14.5,47.2,0.253,-0.0090,True,152.56,154.08,153.32,146.47,173.86,3.00,,29,earnings_expectations,partial,diagonal_call,0.09702,76.66,,,,applied,,,,,,0.0333,499.50,459.96,options,6,459.96,rank track — flat 3.33% risk regardless of score (62.1/100) | superseded 2026-08-28 — a newer qualifying signal (confidence 60.6) replaced this still-unfilled entry order,False,,,,,,,,superseded,2026-08-28,,,,,,,,,,,,
2026-08-27,KEY,55.4,bearish,30.3,12.8,9.0,5.0,-6.7,40.0,15.0,15.0,trending_down,14.5,40.4,0.346,0.0078,False,21.59,21.79,21.69,22.20,20.16,3.00,,26,none,partial,long_butterfly_call,0.05006,34.78,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,486.92,options,14,486.92,rank track — flat 3.33% risk regardless of score (55.4/100) | superseded 2026-08-28 — a newer qualifying signal (confidence 56.0) replaced this still-unfilled entry order,False,,,,,,,,superseded,2026-08-28,,,,,,,,,,,,
2026-08-27,ABBV,73.0,bullish,27.5,16.0,13.8,6.7,4.0,40.0,15.0,15.0,trending_up,14.5,53.9,-1.353,-0.0141,True,265.52,268.42,266.97,257.19,296.31,3.00,,39,none,complete,long_strangle,0.51190,169.71,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,339.42,options,2,339.42,rank track — flat 3.33% risk regardless of score (73.0/100),True,clinical hold,,,,,,,expired,2026-09-03,,,,5,,loss,2026-08-28,257.19,-0.0366,-1.000,1,-339.42
2026-08-27,AMGN,71.5,bullish,30.4,11.0,14.0,5.2,6.0,40.0,15.0,15.0,trending_up,14.5,68.9,1.149,0.0134,True,444.49,449.57,447.03,424.14,515.70,3.00,3.50,38,none,complete,long_strangle,0.95567,284.18,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,284.18,options,1,284.18,rank track — flat 3.33% risk regardless of score (71.5/100),True,clinical hold,2026-09-02,444.49,,,,,loss,2026-09-08,408.90,-0.0801,-1.749,4,-497.00,,,,,,,
2026-08-27,AMZN,65.9,bullish,27.6,15.0,10.8,9.1,5.3,40.0,15.0,15.0,choppy,14.5,47.2,0.784,-0.0148,True,285.52,288.88,287.20,272.10,332.49,3.00,,182,ai_demand,complete,long_strangle,2.29640,108.94,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,435.76,options,4,435.76,rank track — flat 3.33% risk regardless of score (65.9/100) | superseded 2026-08-28 — a newer qualifying signal (confidence 68.1) replaced this still-unfilled entry order,True,boycott,,,,,,,superseded,2026-08-28,,,,,,,,,,,,
2026-08-27,TGT,59.7,bullish,30.7,13.0,8.7,5.0,4.2,40.0,15.0,15.0,choppy,14.5,69.0,0.933,0.0485,True,169.46,172.04,170.75,159.18,205.45,3.00,,79,none,complete,long_strangle,1.47105,108.55,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,434.20,options,4,434.20,rank track — flat 3.33% risk regardless of score (59.7/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 62.0) replaced this still-unfilled entry order,True,boycott,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,MU,67.7,bullish,24.4,16.0,11.4,9.3,8.7,40.0,15.0,15.0,choppy,14.4,50.7,0.248,-0.0351,False,1021.02,1051.24,1036.13,929.68,1355.49,3.00,,182,memory_cycle,complete,long_strangle,10.64365,271.15,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,271.15,options,1,271.15,rank track — flat 3.33% risk regardless of score (67.7/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 70.5) replaced this still-unfilled entry order,True,tariff,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,QCOM,66.0,bullish,26.1,13.7,15.0,9.2,4.0,40.0,15.0,15.0,choppy,14.4,48.5,2.136,0.0214,False,167.35,170.39,168.87,161.25,210.58,5.47,,41,competitive_dynamics,complete,long_strangle,2.87127,85.28,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,426.40,options,5,426.40,rank track — flat 3.33% risk regardless of score (66.0/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 76.2) replaced this still-unfilled entry order,True,tariff,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,UMBF,60.6,bullish,23.9,15.0,11.0,8.4,7.3,40.0,15.0,15.0,trending_down,14.4,47.3,0.295,-0.0038,False,152.58,154.06,153.32,146.68,173.24,3.00,,22,earnings_expectations,partial,diagonal_call,0.09510,76.66,,,,applied,,,,,,0.0333,499.50,459.96,options,6,459.96,rank track — flat 3.33% risk regardless of score (60.6/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 64.6) replaced this still-unfilled entry order,False,,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,KEY,56.0,bearish,30.4,13.2,9.0,5.0,-6.7,40.0,15.0,15.0,trending_down,14.4,38.7,0.278,0.0018,False,21.59,21.79,21.69,22.20,20.17,3.00,,25,none,partial,long_butterfly_call,0.05033,35.54,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,497.56,options,14,497.56,rank track — flat 3.33% risk regardless of score (56.0/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 56.0) replaced this still-unfilled entry order,False,,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,JNJ,71.0,bullish,28.6,13.8,8.3,8.9,6.4,40.0,15.0,15.0,trending_up,14.4,57.1,-0.202,-0.0032,True,273.75,276.47,275.11,262.86,311.86,3.00,,52,ai_demand,complete,long_strangle,1.09668,138.94,,,,applied,,,,,,0.0333,499.50,416.82,options,3,416.82,rank track — flat 3.33% risk regardless of score (71.0/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 69.2) replaced this still-unfilled entry order,False,,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,ABT,70.2,bullish,25.1,15.8,8.2,10.7,5.3,40.0,15.0,15.0,trending_up,14.4,59.7,-0.517,-0.0358,True,116.72,117.96,117.34,111.79,134.00,3.00,,34,ai_demand,complete,long_butterfly_call,0.62634,75.07,,,,applied,,,,,,0.0333,499.50,450.42,options,6,450.42,rank track — flat 3.33% risk regardless of score (70.2/100),False,,,,,,,,expired,2026-09-04,,,,5,,loss,2026-08-31,111.54,-0.0494,-1.045,1,-470.71
2026-08-28,AMZN,68.1,bullish,28.7,15.0,10.9,10.4,5.1,40.0,15.0,15.0,choppy,14.4,55.9,-0.479,0.0302,True,285.44,288.96,287.20,271.37,334.70,3.00,,177,ai_demand,complete,long_strangle,4.43092,75.16,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,450.96,options,6,450.96,rank track — flat 3.33% risk regardless of score (68.1/100) | superseded 2026-08-29 — a newer qualifying signal (confidence 65.6) replaced this still-unfilled entry order,True,boycott,,,,,,,superseded,2026-08-29,,,,,,,,,,,,
2026-08-28,SBUX,63.5,bullish,31.4,12.6,10.1,9.5,1.9,40.0,15.0,15.0,choppy,14.4,56.4,0.170,0.0072,True,109.22,110.54,109.88,106.59,119.74,3.00,,36,ai_demand,complete,long_strangle,0.48853,55.49,,,,not_implemented_no_options_chain_data,,,,,,0.0333,499.50,499.41,options,9,499.41,rank track — flat 3.33% risk regardless of score (63.5/100) | superseded 2026-08-31 — a newer qualifying signal (confidence 57.7) replaced this still-unfilled entry order,True,boycott,,,,,,,superseded,2026-08-31,,,,,,,,,,,,
2026-08-29,QCOM,76.2,bullish,26.5,13.8,15.0,12.2,3.8,40.0,15.0,15.0,trending_up,14.5,49.2,1.228,0.0251,False,167.30,170.44,168.87,161.01,192.46,3.00,4.00,88,competitive_dynamics,complete,bull_call_spread,0.31573,398.83,,,,applied,,,,,,0.0333,499.50,398.83,options,1,398.83,rank track — flat 3.33% risk regardless of score (76.2/100),True,tariff,2026-08-31,167.30,177.24,2026-09-10,1.580,630.27,,,,,,,,,,,,,,
2026-08-29,MU,70.5,bullish,23.4,10.5,12.9,10.4,8.3,40.0,15.0,15.0,trending_up,14.5,51.0,-0.455,-0.0400,False,1020.58,1051.68,1036.13,934.66,1340.55,3.00,,159,memory_cycle,complete,long_stock,0.21607,101.47,,,,applied,,,,,,0.0333,499.50,405.88,shares,4,4144.52,rank track — flat 3.33% risk regardless of score (70.5/100) | superseded 2026-08-31 — a newer qualifying signal (confidence 62.9) replaced this still-unfilled entry order,True,tariff,,,,,,,superseded,2026-08-31,,,,,,,,,,,,
2026-08-29,UMBF,64.6,bullish,28.7,15.0,11.0,7.9,7.0,40.0,15.0,15.0,trending_down,14.5,47.2,0.253,-0.0090,True,152.56,154.08,153.32,146.47,173.86,3.00,,20,earnings_expectations,partial,diagonal_call,0.10123,76.66,,,,applied,,,,,,0.0333,499.50,459.96,options,6,459.96,rank track — flat 3.33% risk regardless of score (64.6/100) | superseded 2026-09-03 — a newer qualifying signal (confidence 56.3) replaced this still-unfilled entry order,False,,,,,,,,superseded,2026-09-03,,,,,,,,,,,,
2026-08-29,KEY,56.0,bearish,30.3,13.4,9.0,5.0,-6.7,40.0,15.0,15.0,trending_down,14.5,40.4,0.346,0.0078,False,21.59,21.79,21.69,22.20,20.16,3.00,3.98,22,none,partial,diagonal_put,0.04340,10.85,,,,applied,,,,,,0.0333,499.50,499.10,options,46,499.10,rank track — flat 3.33% risk regardless of score (56.0/100),False,,2026-08-31,21.79,,,,,loss,2026-09-04,22.20,-0.0272,-1.000,5,-499.10,,,,,,,
