ticker,date,technical_total,sentiment_total,rs_zscore,rsi_14,mom_5d
AMD,2014-04-23 00:00:00+00:00,29.21,13.0,0.9083708138529416,62.65043938536724,0.12137204294906297
AMD,2015-10-22 00:00:00+00:00,26.22,13.0,1.4217569652337867,69.1101110342476,0.08629445371829514
AMD,2016-03-18 00:00:00+00:00,29.52,14.1,2.237021010538685,69.7274251518371,0.16269844798964886
AMD,2016-04-25 00:00:00+00:00,29.44,11.9,1.078254067864871,62.76078138397731,0.25000002159588586
AMD,2016-10-26 00:00:00+00:00,28.6,13.0,0.4534841966316656,59.07286969245033,0.07680945087024191
AMD,2016-11-17 00:00:00+00:00,31.08,14.1,1.827760706706884,69.66085553971138,0.34285710825671517
AMD,2017-06-23 00:00:00+00:00,27.8,13.0,2.37322047511228,68.41231867945082,0.2386364157383276
AMD,2018-01-19 00:00:00+00:00,25.92,9.5,1.088900945610471,66.41291813395534,0.03706752854522329
AMD,2019-01-31 00:00:00+00:00,32.99,14.1,1.911062970665761,64.7218633174756,0.1707433765375997
AMD,2019-02-01 00:00:00+00:00,30.85,13.0,2.271899649965165,64.98269781131333,0.11764705370738836
AMD,2019-03-20 00:00:00+00:00,25.24,13.0,0.44625427279146423,65.60212121479655,0.09923018329555755
AMD,2019-10-29 00:00:00+00:00,26.73,11.5,1.569277408848017,65.33667630814219,0.04823860804106932
AMD,2020-07-23 00:00:00+00:00,30.99,11.9,2.243454594590767,61.724641032720875,0.08466863949220349
AMD,2020-12-01 00:00:00+00:00,27.57,13.0,2.1993857475181744,68.46876140838751,0.08580471110430621
AMD,2020-12-16 00:00:00+00:00,26.81,13.0,2.251646108398033,67.49171294294382,0.07814757319352027
AMD,2021-06-18 00:00:00+00:00,30.17,11.5,1.626522920451982,64.42882004725584,0.041077408283997016
AMD,2023-02-03 00:00:00+00:00,27.97,13.0,2.495050104980994,69.78345611599886,0.1417771166535412
AMD,2023-11-24 00:00:00+00:00,26.19,9.5,2.7643239538970192,67.33908221620939,0.020695950009544144
AMD,2023-12-08 00:00:00+00:00,28.13,11.5,0.9201340671566193,68.37747313990823,0.06203145907535936
AMD,2024-07-11 00:00:00+00:00,28.64,13.0,3.087818998553398,67.12360174243389,0.1100671703277521
AMD,2024-10-07 00:00:00+00:00,26.61,11.5,1.4772794883985394,67.15525823014242,0.04199170717186327
AMD,2025-06-17 00:00:00+00:00,25.38,9.5,0.5546617492822875,66.49237289608769,0.03132100517088983
ASML,2013-05-06 00:00:00+00:00,24.8,9.5,0.9180349221839587,66.83999071966366,0.022263991888037165
ASML,2013-05-22 00:00:00+00:00,26.12,9.5,1.1118550472956352,68.62981244550537,0.019737692286258463
ASML,2014-03-21 00:00:00+00:00,29.25,9.5,1.3888608579873425,61.46841246279738,0.032521650372064545
ASML,2016-07-20 00:00:00+00:00,27.27,11.5,1.2304301971892355,69.17729887213217,0.06972588517976469
ASML,2016-07-28 00:00:00+00:00,25.12,11.5,1.0581696766013855,68.98504644938544,0.04361015969534461
ASML,2016-12-19 00:00:00+00:00,30.75,14.1,1.9372276209953267,69.26116280017274,0.07113708881749446
ASML,2016-12-20 00:00:00+00:00,26.99,11.5,1.7609512691979181,67.1342027835095,0.04845174617644752
ASML,2017-05-05 00:00:00+00:00,24.29,9.5,0.34089700492272185,66.67559522135832,0.030261477552301606
ASML,2018-06-06 00:00:00+00:00,24.73,13.0,0.06919348213056381,67.0159474998549,0.08376426128285785
ASML,2019-02-04 00:00:00+00:00,25.8,9.5,1.786338069039532,66.27872061777121,0.031064919545684168
ASML,2019-02-05 00:00:00+00:00,26.24,11.5,1.838355573001767,67.97048827978719,0.04008925213247757
ASML,2019-03-18 00:00:00+00:00,28.5,11.5,0.3744750178317873,63.703825642637916,0.0527363415985826
ASML,2019-04-04 00:00:00+00:00,24.39,13.0,0.6324316662226096,67.29258774080279,0.07698130944525697
ASML,2019-07-19 00:00:00+00:00,24.8,13.0,0.11712888663444083,68.14319088240119,0.0741664176716397
ASML,2019-10-14 00:00:00+00:00,25.25,11.5,0.4552730420207548,69.03897269833949,0.057472973168021135
ASML,2019-12-09 00:00:00+00:00,27.94,11.5,0.5247780940110215,62.02492132484251,0.04491870034965732
ASML,2020-02-06 00:00:00+00:00,27.97,11.5,0.33376338462858235,61.60586699871601,0.051531960783086486
ASML,2020-02-11 00:00:00+00:00,29.2,11.5,1.153354620211735,64.05180582511484,0.05607739330592929
ASML,2020-02-12 00:00:00+00:00,27.96,9.5,0.6132112991688998,64.84163060614665,0.036301566169654874
ASML,2020-02-13 00:00:00+00:00,27.6,9.5,0.1402544560955847,64.63833864527285,0.02487445555637935
ASML,2020-05-21 00:00:00+00:00,27.98,11.5,0.6078279909259723,61.62235668531148,0.05433825771922549
ASML,2020-07-07 00:00:00+00:00,24.02,11.5,1.0007015970463538,69.74347649536097,0.047175403681894136
ASML,2020-10-13 00:00:00+00:00,28.3,13.0,0.9934227026286481,65.23016753899932,0.09467438447398838
ASML,2020-11-17 00:00:00+00:00,26.66,11.5,2.336580301284234,68.6605774997881,0.06806935181414181
ASML,2021-01-15 00:00:00+00:00,25.26,8.4,0.4664026259921074,68.19642614871736,0.03687527972338219
ASML,2021-07-23 00:00:00+00:00,28.17,13.0,1.2096453246627321,66.93868457735883,0.08833025060744462
ASML,2021-07-26 00:00:00+00:00,26.57,13.0,1.701663980848519,68.20544593690026,0.10247051879577679
ASML,2021-07-29 00:00:00+00:00,26.72,11.5,2.21467363667518,68.91994850113934,0.04903296564787275
ASML,2021-07-30 00:00:00+00:00,25.9,9.5,2.166591930038052,69.14694143375841,0.024861485666833393
