threshold,qualifying_trades,win_rate,avg_rr,sharpe_ratio,signals_per_month,max_consec_losses
85,0,0.0,0.0,0.0,0.0,0
87,0,0.0,0.0,0.0,0.0,0
90,0,0.0,0.0,0.0,0.0,0
92,0,0.0,0.0,0.0,0.0,0
95,0,0.0,0.0,0.0,0.0,0
